sc_gid,capacity_factor,global_horizontal_irradiance,capacity_mw,area_sq_km,latitude,longitude,distance_to_transmission_km
79,0.13109383,3.189217806,3463.990313,108.2496973,48.363,-122.256,58.30180047
80,0.12997365,3.124451876,3414.674981,106.7085932,48.39,-122.097,61.10977086
81,0.128999516,3.102354527,1144.225491,35.75704658,48.416,-121.939,64.63540746
82,0.131504744,3.16293335,49.87267295,1.55852103,48.442,-121.78,8.011098775
83,0.130896538,3.204354525,1467.896175,45.87175547,48.469,-121.621,73.70273099
84,0.13056007,3.19928813,421.2907137,13.1653348,48.495,-121.462,34.36755752
85,0.169794947,3.849158525,3184.746356,99.52332363,48.746,-119.863,116.5652363
86,0.167032152,3.843832493,1737.666422,54.30207568,48.771,-119.703,118.1465739
87,0.164116189,3.850824594,3494.762466,109.2113271,48.795,-119.542,120.1291743
88,0.164752483,3.876575232,3482.901534,108.8406729,48.819,-119.381,122.5712905
89,0.165555492,3.851737022,4063.040241,126.9700075,48.843,-119.22,119.9990499
90,0.160247177,3.740610838,3954.70755,123.5846109,48.866,-119.059,117.493591
91,0.157113537,3.690449238,3447.5544,107.736075,48.89,-118.897,115.501451
92,0.153578848,3.648481369,1220.549513,38.14217227,48.913,-118.736,113.9551867
93,0.153999582,3.669989586,2364.987375,73.90585547,48.936,-118.574,112.9026738
94,0.152917862,3.643836021,264.5110055,8.265968921,48.959,-118.413,83.0517654
95,0.149484694,3.58404541,420.2254055,13.13204392,48.982,-118.251,112.398096
96,0.150691614,3.601990938,18.31507295,0.57234603,49.005,-118.089,25.25622273
97,0.151510641,3.603531837,12.1824,0.3807,49.027,-117.927,18.35335973
98,0.130213141,3.184069633,1139.238422,35.60120068,47.851,-124.566,108.1021556
99,0.128963009,3.13883996,4078.099913,127.4406223,47.88,-124.41,101.2936441
100,0.128262803,3.102394819,951.9145945,29.74733108,47.909,-124.254,94.62471155
